location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Parking Lot,Afternoon,Wednesday,4,Blunt Object,No,0,55,No,Robbery,28.59926378349737,77.20046479072582,Type: Robbery | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2015-11-29
Residential,Night,Thursday,2,Blunt Object,Yes,8,45,No,Homicide,28.6179754136231,77.20043278151383,Type: Homicide | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 2,2022-04-24
Parking Lot,Morning,Wednesday,4,None,No,0,19,No,Homicide,28.5987675329186,77.20135460209859,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 4,2024-10-06
Commercial,Night,Wednesday,2,Gun,Yes,3,36,Yes,Robbery,28.61645419811812,77.21156415875629,Type: Robbery | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 2,2016-10-30
Park,Morning,Monday,2,Gun,Yes,9,43,No,Theft,28.572425719298018,77.20638545384624,Type: Theft | Location: Park | Time: Morning | Weapon: Gun | Suspects: 2,2017-10-09
Park,Evening,Sunday,5,Blunt Object,Yes,3,39,Yes,Theft,28.56992420938376,77.20669825377121,Type: Theft | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 5,2016-12-08
Park,Night,Tuesday,3,Gun,Yes,1,22,Yes,Robbery,28.57208533592364,77.2103647782608,Type: Robbery | Location: Park | Time: Night | Weapon: Gun | Suspects: 3,2019-06-01
Commercial,Night,Friday,4,Knife,Yes,0,28,Yes,Vandalism,28.615125590376483,77.20442920747065,Type: Vandalism | Location: Commercial | Time: Night | Weapon: Knife | Suspects: 4,2024-03-05
Residential,Evening,Wednesday,3,Gun,No,5,27,No,Robbery,28.62286162227442,77.19796657954787,Type: Robbery | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 3,2016-06-05
Parking Lot,Evening,Saturday,5,Knife,Yes,6,22,No,Assault,28.600172999909105,77.19527210193738,Type: Assault | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 5,2016-04-09
Park,Afternoon,Tuesday,4,Blunt Object,No,7,29,Yes,Vandalism,28.565192032784942,77.21377157356466,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2022-10-09
Residential,Morning,Saturday,1,None,No,5,47,Yes,Robbery,28.61596451417425,77.19960630476865,Type: Robbery | Location: Residential | Time: Morning | Weapon: None | Suspects: 1,2021-01-12
Park,Evening,Sunday,3,Knife,No,3,24,No,Theft,28.563073399060897,77.20851117192676,Type: Theft | Location: Park | Time: Evening | Weapon: Knife | Suspects: 3,2018-06-30
Alley,Morning,Monday,1,Knife,No,10,21,Yes,Robbery,28.599570299854985,77.19677168517713,Type: Robbery | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 1,2023-04-14
Alley,Evening,Saturday,1,Gun,No,10,57,No,Burglary,28.595894362384875,77.20013256510562,Type: Burglary | Location: Alley | Time: Evening | Weapon: Gun | Suspects: 1,2018-07-30
Alley,Night,Friday,1,None,No,2,56,Yes,Robbery,28.60299344986776,77.19889590623828,Type: Robbery | Location: Alley | Time: Night | Weapon: None | Suspects: 1,2021-12-20
Alley,Evening,Saturday,3,Blunt Object,Yes,2,32,Yes,Vandalism,28.596644874975897,77.19665169312405,Type: Vandalism | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 3,2018-09-07
Alley,Evening,Thursday,4,Knife,No,9,41,Yes,Burglary,28.604399940647085,77.20089579989303,Type: Burglary | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 4,2020-08-23
Street,Night,Tuesday,2,None,Yes,6,43,No,Theft,28.6059176204716,77.23399878349025,Type: Theft | Location: Street | Time: Night | Weapon: None | Suspects: 2,2019-02-25
Residential,Morning,Tuesday,1,Gun,Yes,1,56,No,Robbery,28.62042889634936,77.19862575625748,Type: Robbery | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 1,2020-08-16
Residential,Morning,Thursday,5,None,Yes,7,16,Yes,Assault,28.623199341813688,77.19963763143087,Type: Assault | Location: Residential | Time: Morning | Weapon: None | Suspects: 5,2023-12-19
Park,Night,Tuesday,4,Blunt Object,Yes,7,48,Yes,Robbery,28.57122477543139,77.20980403163429,Type: Robbery | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 4,2019-08-18
Commercial,Morning,Saturday,3,Knife,Yes,0,41,Yes,Robbery,28.616114392050346,77.2115362403042,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 3,2021-10-17
Commercial,Afternoon,Thursday,1,Blunt Object,No,8,58,No,Vandalism,28.61673006308354,77.2111900325777,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2015-11-05
Parking Lot,Evening,Saturday,5,Gun,No,2,48,No,Burglary,28.599522630659,77.19941388712817,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: Gun | Suspects: 5,2016-01-19
Park,Afternoon,Monday,1,Gun,Yes,1,32,No,Burglary,28.5716980861994,77.20846934434645,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 1,2024-07-13
Park,Morning,Wednesday,1,Gun,Yes,1,41,Yes,Burglary,28.566043401525672,77.21258333540078,Type: Burglary | Location: Park | Time: Morning | Weapon: Gun | Suspects: 1,2024-11-22
Street,Night,Sunday,3,Gun,No,5,27,Yes,Burglary,28.60768266451104,77.228662149516,Type: Burglary | Location: Street | Time: Night | Weapon: Gun | Suspects: 3,2022-11-24
Alley,Morning,Wednesday,3,Blunt Object,No,0,53,Yes,Theft,28.596538829203787,77.19984203864402,Type: Theft | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 3,2015-06-30
Street,Evening,Sunday,1,Blunt Object,Yes,5,36,Yes,Robbery,28.61365038890197,77.23048261546934,Type: Robbery | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 1,2022-01-18
Park,Evening,Wednesday,3,Knife,No,1,31,Yes,Homicide,28.564219829352066,77.21285712188116,Type: Homicide | Location: Park | Time: Evening | Weapon: Knife | Suspects: 3,2016-01-20
Parking Lot,Night,Tuesday,2,Blunt Object,Yes,6,50,Yes,Theft,28.60052247629993,77.20067259433263,Type: Theft | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 2,2020-07-30
Alley,Morning,Sunday,5,None,Yes,4,51,Yes,Vandalism,28.600177495400043,77.20285133928479,Type: Vandalism | Location: Alley | Time: Morning | Weapon: None | Suspects: 5,2015-12-14
Street,Evening,Sunday,5,None,Yes,0,53,Yes,Burglary,28.614319731411527,77.2302529421192,Type: Burglary | Location: Street | Time: Evening | Weapon: None | Suspects: 5,2018-05-19
Park,Afternoon,Saturday,4,Knife,Yes,4,28,Yes,Homicide,28.567319110672667,77.20900034410514,Type: Homicide | Location: Park | Time: Afternoon | Weapon: Knife | Suspects: 4,2015-11-18
Street,Evening,Friday,1,Blunt Object,No,2,44,No,Assault,28.60513569839773,77.22683559126595,Type: Assault | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 1,2016-08-27
Park,Evening,Sunday,4,None,No,6,21,No,Robbery,28.57133313748897,77.20896449174349,Type: Robbery | Location: Park | Time: Evening | Weapon: None | Suspects: 4,2024-11-04
Street,Night,Tuesday,2,Knife,No,1,48,No,Vandalism,28.61133547450659,77.23120851553693,Type: Vandalism | Location: Street | Time: Night | Weapon: Knife | Suspects: 2,2016-06-05
Residential,Night,Monday,5,None,Yes,9,57,Yes,Homicide,28.617026609233164,77.19688004417621,Type: Homicide | Location: Residential | Time: Night | Weapon: None | Suspects: 5,2018-04-24
Park,Evening,Saturday,4,Knife,Yes,2,55,Yes,Homicide,28.56723454630066,77.20822586614624,Type: Homicide | Location: Park | Time: Evening | Weapon: Knife | Suspects: 4,2022-05-16
Residential,Night,Wednesday,1,Blunt Object,Yes,5,55,No,Assault,28.62021219267821,77.19885151922543,Type: Assault | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 1,2015-12-13
Residential,Evening,Friday,5,Blunt Object,No,1,35,No,Homicide,28.621451441978163,77.19746090118464,Type: Homicide | Location: Residential | Time: Evening | Weapon: Blunt Object | Suspects: 5,2023-01-30
Residential,Evening,Thursday,3,Knife,No,2,29,No,Assault,28.62082861531913,77.19965818636939,Type: Assault | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 3,2021-03-10
Street,Morning,Tuesday,5,None,No,10,31,No,Burglary,28.608671150579625,77.22758248364897,Type: Burglary | Location: Street | Time: Morning | Weapon: None | Suspects: 5,2019-10-02
Residential,Afternoon,Wednesday,1,Knife,No,9,32,Yes,Vandalism,28.62243312450504,77.20030603937097,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 1,2022-04-21
Street,Evening,Tuesday,4,Knife,Yes,10,37,No,Assault,28.60969928893339,77.2328885670819,Type: Assault | Location: Street | Time: Evening | Weapon: Knife | Suspects: 4,2022-01-31
Street,Afternoon,Monday,5,Gun,No,7,36,Yes,Robbery,28.611581436129267,77.22636675210988,Type: Robbery | Location: Street | Time: Afternoon | Weapon: Gun | Suspects: 5,2017-04-24
Park,Morning,Friday,2,Blunt Object,Yes,9,26,Yes,Robbery,28.57039518091121,77.21408743523173,Type: Robbery | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 2,2015-12-16
Residential,Night,Monday,5,None,Yes,8,30,Yes,Theft,28.622735207830345,77.2028003911901,Type: Theft | Location: Residential | Time: Night | Weapon: None | Suspects: 5,2015-08-12
Alley,Afternoon,Saturday,1,Blunt Object,Yes,4,51,Yes,Burglary,28.60151062800708,77.19577859744601,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2020-08-11
Commercial,Evening,Monday,3,None,No,6,16,No,Burglary,28.61289677351999,77.21132101141819,Type: Burglary | Location: Commercial | Time: Evening | Weapon: None | Suspects: 3,2019-12-22
Alley,Afternoon,Thursday,3,Blunt Object,Yes,5,22,No,Robbery,28.600301037822565,77.2007292010881,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2015-04-15
Street,Afternoon,Monday,3,Knife,No,9,37,Yes,Robbery,28.60912105725377,77.23171298586037,Type: Robbery | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 3,2024-02-09
Parking Lot,Morning,Friday,1,Knife,Yes,1,28,No,Theft,28.595054759866937,77.20322852688031,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 1,2022-02-25
Commercial,Night,Tuesday,2,None,No,8,57,No,Robbery,28.60963660068005,77.20563574663306,Type: Robbery | Location: Commercial | Time: Night | Weapon: None | Suspects: 2,2016-04-24
Alley,Evening,Tuesday,3,Gun,No,9,48,No,Robbery,28.600553514438683,77.19956012939568,Type: Robbery | Location: Alley | Time: Evening | Weapon: Gun | Suspects: 3,2020-08-14
Commercial,Morning,Wednesday,3,None,No,3,21,No,Homicide,28.60990431951056,77.21143666947408,Type: Homicide | Location: Commercial | Time: Morning | Weapon: None | Suspects: 3,2018-06-24
Alley,Afternoon,Friday,4,Knife,Yes,1,44,Yes,Robbery,28.602667475042,77.19533177386411,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 4,2016-02-22
Commercial,Morning,Tuesday,2,None,Yes,3,49,No,Theft,28.61530312408248,77.21195417981352,Type: Theft | Location: Commercial | Time: Morning | Weapon: None | Suspects: 2,2019-06-17
Alley,Afternoon,Tuesday,2,None,No,7,21,Yes,Burglary,28.6017154394952,77.19742169570198,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 2,2019-05-25
Commercial,Morning,Monday,4,None,Yes,5,19,Yes,Theft,28.609960316912737,77.20803752696916,Type: Theft | Location: Commercial | Time: Morning | Weapon: None | Suspects: 4,2024-12-09
Alley,Afternoon,Saturday,4,None,No,9,45,Yes,Burglary,28.59877407654533,77.19955541483722,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: None | Suspects: 4,2015-04-14
Park,Morning,Tuesday,1,None,No,9,45,Yes,Homicide,28.563769968225287,77.2103396670666,Type: Homicide | Location: Park | Time: Morning | Weapon: None | Suspects: 1,2015-05-19
Commercial,Night,Thursday,4,Blunt Object,No,3,41,No,Vandalism,28.61448797518277,77.20413835274265,Type: Vandalism | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 4,2016-04-29
Alley,Afternoon,Monday,3,Knife,Yes,0,53,No,Homicide,28.6030118564083,77.19724376523588,Type: Homicide | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 3,2021-09-30
Residential,Afternoon,Friday,5,Gun,No,7,17,No,Burglary,28.6167843398742,77.20119640526431,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 5,2021-11-27
Alley,Night,Wednesday,4,None,Yes,7,59,Yes,Vandalism,28.596272195524108,77.2023167786802,Type: Vandalism | Location: Alley | Time: Night | Weapon: None | Suspects: 4,2015-09-01
Residential,Morning,Monday,3,None,Yes,8,18,No,Homicide,28.619435164598343,77.20453265391599,Type: Homicide | Location: Residential | Time: Morning | Weapon: None | Suspects: 3,2015-07-23
Commercial,Morning,Friday,1,Knife,Yes,7,57,Yes,Robbery,28.61175098824441,77.21057376082578,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 1,2020-09-26
Parking Lot,Evening,Monday,2,None,Yes,5,54,Yes,Homicide,28.60247083630304,77.20471263424905,Type: Homicide | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 2,2023-07-11
Alley,Morning,Tuesday,3,None,No,5,35,Yes,Homicide,28.5960001149778,77.20496282092172,Type: Homicide | Location: Alley | Time: Morning | Weapon: None | Suspects: 3,2017-08-22
Parking Lot,Morning,Saturday,4,None,Yes,0,17,No,Burglary,28.597279042508223,77.19508940678402,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 4,2015-03-03
Commercial,Evening,Friday,3,Gun,Yes,5,50,Yes,Homicide,28.613207089062392,77.21266569543243,Type: Homicide | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 3,2019-02-12
Park,Morning,Monday,5,Blunt Object,No,5,54,No,Theft,28.56332218377893,77.21137081527726,Type: Theft | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 5,2023-12-04
Parking Lot,Morning,Friday,5,Gun,No,9,18,Yes,Burglary,28.595738307599746,77.20183804025842,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 5,2019-10-23
Residential,Night,Monday,5,Knife,Yes,1,21,No,Theft,28.6179606206612,77.2010747845105,Type: Theft | Location: Residential | Time: Night | Weapon: Knife | Suspects: 5,2021-09-23
Residential,Night,Tuesday,2,Blunt Object,Yes,9,30,No,Burglary,28.617028407525883,77.19502079349874,Type: Burglary | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 2,2015-10-30
Alley,Afternoon,Friday,3,Gun,Yes,5,41,No,Theft,28.598765011927608,77.2042191905192,Type: Theft | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 3,2024-11-27
Parking Lot,Evening,Thursday,3,Blunt Object,Yes,0,57,Yes,Burglary,28.60252682357912,77.19638809327155,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 3,2024-12-06
Park,Evening,Saturday,5,Knife,Yes,2,27,No,Burglary,28.568838107815044,77.20690288363346,Type: Burglary | Location: Park | Time: Evening | Weapon: Knife | Suspects: 5,2020-11-13
Commercial,Morning,Thursday,4,Blunt Object,Yes,0,34,No,Vandalism,28.61259756911604,77.2104138262651,Type: Vandalism | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 4,2015-10-29
Street,Morning,Tuesday,5,Gun,No,9,26,Yes,Robbery,28.60821775072836,77.22674941657152,Type: Robbery | Location: Street | Time: Morning | Weapon: Gun | Suspects: 5,2021-08-09
Residential,Afternoon,Monday,3,Knife,Yes,10,46,No,Vandalism,28.620569737289003,77.1977358617748,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Knife | Suspects: 3,2023-04-19
Parking Lot,Afternoon,Thursday,3,Knife,Yes,5,52,Yes,Robbery,28.59881387874104,77.1954490499173,Type: Robbery | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 3,2017-05-23
Residential,Night,Saturday,3,Blunt Object,Yes,8,56,Yes,Theft,28.618063632160684,77.20145651739824,Type: Theft | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 3,2019-12-21
Park,Evening,Saturday,3,None,Yes,8,36,Yes,Homicide,28.568773261129145,77.20510004275496,Type: Homicide | Location: Park | Time: Evening | Weapon: None | Suspects: 3,2022-11-26
Commercial,Afternoon,Tuesday,3,Knife,Yes,5,32,Yes,Homicide,28.61085449271574,77.20624363837753,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 3,2021-02-10
Street,Night,Wednesday,3,Knife,No,4,42,No,Theft,28.610892341416143,77.23408891237085,Type: Theft | Location: Street | Time: Night | Weapon: Knife | Suspects: 3,2024-09-29
Residential,Evening,Monday,5,Knife,Yes,9,39,Yes,Homicide,28.61782212308005,77.20120799882554,Type: Homicide | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 5,2018-07-01
Commercial,Evening,Thursday,3,Knife,Yes,7,17,No,Assault,28.609782041488582,77.20665726774075,Type: Assault | Location: Commercial | Time: Evening | Weapon: Knife | Suspects: 3,2019-08-11
Commercial,Morning,Saturday,1,Knife,No,6,27,No,Burglary,28.60969961089869,77.21264834631461,Type: Burglary | Location: Commercial | Time: Morning | Weapon: Knife | Suspects: 1,2024-04-16
Commercial,Evening,Monday,2,Gun,No,7,16,Yes,Burglary,28.61676020869002,77.20558571481766,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 2,2018-07-28
Residential,Morning,Thursday,5,None,Yes,10,37,No,Burglary,28.62091931438753,77.19645634838352,Type: Burglary | Location: Residential | Time: Morning | Weapon: None | Suspects: 5,2021-08-18
Commercial,Night,Saturday,5,Gun,No,10,52,Yes,Theft,28.612078810227693,77.20471805213089,Type: Theft | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 5,2016-02-09
Park,Night,Saturday,3,None,Yes,7,24,No,Vandalism,28.566315122190368,77.20533766621006,Type: Vandalism | Location: Park | Time: Night | Weapon: None | Suspects: 3,2015-10-31
Residential,Night,Wednesday,3,Blunt Object,No,4,39,Yes,Theft,28.624134985698262,77.20125902544324,Type: Theft | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 3,2019-07-05
Residential,Afternoon,Thursday,2,Blunt Object,No,6,38,No,Vandalism,28.61512439202991,77.2016533693151,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2022-06-02
Alley,Morning,Saturday,2,Knife,Yes,5,58,No,Homicide,28.603455906041827,77.2041212576914,Type: Homicide | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 2,2024-11-28
Park,Morning,Tuesday,4,None,Yes,3,32,Yes,Assault,28.5644833141638,77.21353613706898,Type: Assault | Location: Park | Time: Morning | Weapon: None | Suspects: 4,2019-01-12
Commercial,Evening,Sunday,2,Gun,No,8,36,No,Assault,28.613394376806664,77.20487694267187,Type: Assault | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 2,2023-02-26
Alley,Afternoon,Monday,1,Gun,Yes,6,16,Yes,Robbery,28.60240705472094,77.19862317772248,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 1,2015-09-08
Residential,Morning,Thursday,5,Knife,No,4,52,Yes,Vandalism,28.61818386040048,77.19770293069746,Type: Vandalism | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 5,2017-09-02
Alley,Night,Tuesday,5,Gun,Yes,6,36,No,Homicide,28.59617812878525,77.20467875928901,Type: Homicide | Location: Alley | Time: Night | Weapon: Gun | Suspects: 5,2021-03-10
Alley,Evening,Sunday,2,Knife,Yes,8,45,No,Robbery,28.598060240467493,77.19796645783033,Type: Robbery | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 2,2021-06-27
Park,Night,Thursday,3,Blunt Object,Yes,3,26,Yes,Vandalism,28.564526009051697,77.21142968485678,Type: Vandalism | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 3,2018-07-11
Parking Lot,Night,Thursday,2,Knife,No,1,50,No,Theft,28.60277947345196,77.20037879597511,Type: Theft | Location: Parking Lot | Time: Night | Weapon: Knife | Suspects: 2,2016-12-17
Street,Evening,Monday,2,Blunt Object,Yes,7,41,Yes,Vandalism,28.606402812615865,77.23080925120227,Type: Vandalism | Location: Street | Time: Evening | Weapon: Blunt Object | Suspects: 2,2017-12-02
Alley,Afternoon,Wednesday,3,Knife,Yes,5,46,Yes,Theft,28.600563372304656,77.19559072136798,Type: Theft | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 3,2021-07-27
Parking Lot,Night,Wednesday,2,Gun,Yes,3,43,No,Robbery,28.600945550274844,77.20087764209312,Type: Robbery | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 2,2020-03-27
Alley,Night,Sunday,2,Knife,Yes,7,33,No,Burglary,28.601783609699915,77.19548882112146,Type: Burglary | Location: Alley | Time: Night | Weapon: Knife | Suspects: 2,2017-06-25
Commercial,Afternoon,Saturday,5,Blunt Object,No,8,21,Yes,Robbery,28.61843483445055,77.2093374180557,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2018-12-23
Commercial,Afternoon,Thursday,4,Knife,No,2,35,Yes,Homicide,28.61592088238253,77.2050506513975,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 4,2023-08-22
Commercial,Night,Sunday,4,None,Yes,2,57,No,Vandalism,28.61008817541709,77.21150137459362,Type: Vandalism | Location: Commercial | Time: Night | Weapon: None | Suspects: 4,2017-09-26
Residential,Evening,Monday,1,Gun,No,8,32,No,Robbery,28.61908794514293,77.20171404578335,Type: Robbery | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 1,2020-11-26
Parking Lot,Night,Wednesday,1,Blunt Object,Yes,2,42,Yes,Assault,28.60219611671545,77.19516283850875,Type: Assault | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 1,2016-10-16
Street,Afternoon,Tuesday,4,Blunt Object,Yes,10,23,Yes,Homicide,28.60670265140728,77.22616233095589,Type: Homicide | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2017-12-25
Residential,Night,Friday,4,Gun,Yes,9,52,Yes,Burglary,28.623779802821183,77.19642711286687,Type: Burglary | Location: Residential | Time: Night | Weapon: Gun | Suspects: 4,2024-06-06
Commercial,Morning,Monday,5,Gun,Yes,7,47,No,Burglary,28.618604214333097,77.2125908342299,Type: Burglary | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 5,2018-09-28
Parking Lot,Night,Monday,1,None,No,6,18,Yes,Burglary,28.59995915689751,77.19758929768835,Type: Burglary | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 1,2017-09-26
Commercial,Night,Monday,2,Blunt Object,Yes,5,28,No,Robbery,28.611459305622606,77.21186902758764,Type: Robbery | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 2,2022-06-30
Park,Night,Thursday,4,Knife,Yes,9,35,No,Vandalism,28.57014597398341,77.20607161115203,Type: Vandalism | Location: Park | Time: Night | Weapon: Knife | Suspects: 4,2021-10-06
Commercial,Night,Wednesday,3,None,No,3,54,Yes,Robbery,28.61545928567678,77.20566416564452,Type: Robbery | Location: Commercial | Time: Night | Weapon: None | Suspects: 3,2022-03-06
Street,Afternoon,Saturday,2,Knife,Yes,1,58,No,Burglary,28.61041152427213,77.22834865463236,Type: Burglary | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 2,2016-01-23
Park,Morning,Tuesday,5,Blunt Object,No,4,59,Yes,Robbery,28.572037137245424,77.20964894027674,Type: Robbery | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 5,2015-02-04
Street,Morning,Saturday,5,None,No,5,26,No,Vandalism,28.60824874447908,77.23348192202687,Type: Vandalism | Location: Street | Time: Morning | Weapon: None | Suspects: 5,2022-09-06
Parking Lot,Morning,Sunday,3,Knife,Yes,6,26,No,Robbery,28.596900292415818,77.19591198591003,Type: Robbery | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 3,2023-10-01
Parking Lot,Night,Wednesday,3,Blunt Object,No,3,32,No,Burglary,28.602795408202024,77.19593837374202,Type: Burglary | Location: Parking Lot | Time: Night | Weapon: Blunt Object | Suspects: 3,2023-11-06
Park,Morning,Thursday,2,Blunt Object,Yes,7,24,No,Vandalism,28.57029993038883,77.21472683489755,Type: Vandalism | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 2,2019-06-13
Alley,Night,Tuesday,1,Knife,No,6,17,No,Robbery,28.59818078189277,77.19679711059833,Type: Robbery | Location: Alley | Time: Night | Weapon: Knife | Suspects: 1,2015-01-06
Park,Evening,Wednesday,5,Knife,Yes,10,33,No,Assault,28.56509722708329,77.21122529916796,Type: Assault | Location: Park | Time: Evening | Weapon: Knife | Suspects: 5,2022-09-24
Parking Lot,Morning,Thursday,5,Blunt Object,No,2,37,No,Theft,28.601072214515145,77.19824102538173,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: Blunt Object | Suspects: 5,2019-06-01
Alley,Evening,Sunday,1,None,Yes,6,45,Yes,Assault,28.59550439649266,77.19631120476484,Type: Assault | Location: Alley | Time: Evening | Weapon: None | Suspects: 1,2015-10-07
Residential,Evening,Sunday,5,None,No,9,28,No,Burglary,28.62267105315132,77.19917556613093,Type: Burglary | Location: Residential | Time: Evening | Weapon: None | Suspects: 5,2021-05-31
Residential,Night,Tuesday,1,Blunt Object,Yes,10,29,Yes,Vandalism,28.615543217624573,77.1968717825146,Type: Vandalism | Location: Residential | Time: Night | Weapon: Blunt Object | Suspects: 1,2020-07-05
Residential,Evening,Thursday,5,Gun,Yes,4,51,No,Theft,28.61526177560677,77.19678151725245,Type: Theft | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 5,2020-12-09
Street,Evening,Monday,5,Knife,Yes,3,27,Yes,Vandalism,28.60703090767221,77.22809270320649,Type: Vandalism | Location: Street | Time: Evening | Weapon: Knife | Suspects: 5,2022-10-28
Commercial,Evening,Monday,3,Gun,Yes,4,52,Yes,Burglary,28.6181781767133,77.20874354959913,Type: Burglary | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 3,2024-12-23
Park,Night,Saturday,2,Gun,No,0,57,No,Assault,28.567533120540155,77.20780937934747,Type: Assault | Location: Park | Time: Night | Weapon: Gun | Suspects: 2,2016-04-09
Alley,Night,Tuesday,4,Blunt Object,No,3,44,No,Homicide,28.60121794870631,77.20390372173873,Type: Homicide | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 4,2023-08-16
Residential,Morning,Thursday,3,Blunt Object,Yes,7,58,Yes,Burglary,28.61929192543248,77.20313352084445,Type: Burglary | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 3,2017-01-13
Street,Morning,Saturday,3,Blunt Object,No,2,60,Yes,Assault,28.611592993051893,77.23247079426882,Type: Assault | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 3,2019-02-25
Alley,Evening,Thursday,2,None,Yes,2,59,No,Vandalism,28.603506723008177,77.19999548246722,Type: Vandalism | Location: Alley | Time: Evening | Weapon: None | Suspects: 2,2019-07-25
